MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,4,68,50271,2,1,1,3,1,5,1,25,3,3,1,3,9,5,1981,1987,2,8,15,16,3,0,3,5,2,1,4,2,3,1810,6,0,32,1842,2,3,2,5,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,3,2,1981,1,3,894,5,5,3,857,72,0,0,0,0,1,3,3,0,11,2006,9,5,12.8609986132699
80,4,60,7134,2,1,4,1,1,5,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,3,0,4,5,2,4,4,4,1,384,6,0,0,384,2,5,2,5,1360,0,0,1360,0,0,1,0,3,1,4,6,3,1,5,6,1962,3,2,572,5,5,3,0,50,0,0,0,0,1,3,3,0,2,2007,9,5,11.7752897294377
20,4,100,10175,2,1,1,4,1,5,1,13,3,3,1,3,6,5,1964,1964,2,2,7,11,2,272,4,5,2,4,4,4,2,490,6,0,935,1425,2,3,2,5,1425,0,0,1425,0,0,2,0,3,1,4,7,7,1,3,2,1964,2,2,576,5,5,3,0,0,0,407,0,0,1,3,3,0,7,2008,9,5,12.1034860567551
160,2,24,2645,2,2,4,4,1,5,1,21,3,3,4,6,8,5,1999,2000,2,2,9,9,2,456,3,5,3,3,4,4,3,649,6,0,321,970,2,1,2,5,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,3,2,1999,1,2,480,5,5,3,115,0,0,0,0,0,1,3,3,0,8,2009,9,1,12.0581525154536
60,4,89,11645,2,1,1,4,1,1,1,6,3,3,1,6,7,5,2004,2004,2,2,13,14,3,0,3,5,3,3,4,4,6,0,6,0,860,860,2,1,2,5,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,3,2,2004,2,2,565,5,5,3,0,70,0,0,0,0,1,3,3,0,8,2006,9,5,12.1884177102915
60,4,66,13682,2,1,2,2,1,2,1,22,3,3,1,6,10,5,2006,2006,4,2,13,14,2,1031,1,5,3,1,4,2,6,0,6,0,1410,1410,2,1,2,5,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,3,4,2006,1,3,641,5,5,3,192,0,37,0,0,0,1,3,3,0,10,2006,7,6,12.9917534274931
20,4,60,7200,2,1,4,1,1,5,1,6,3,3,1,3,5,7,1972,1972,2,2,7,7,3,0,4,5,2,4,4,1,1,632,6,0,148,780,2,1,2,5,780,0,0,780,0,0,1,0,2,1,4,4,7,0,3,6,1973,3,1,352,5,5,3,196,0,0,0,0,0,1,3,3,0,1,2008,9,5,11.7352686961137
20,4,63,13072,2,1,4,4,1,5,1,20,6,3,1,3,6,5,2004,2004,2,2,13,14,3,0,4,5,3,3,4,4,1,941,6,0,217,1158,2,1,2,5,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,3,6,2006,3,2,576,5,5,3,0,50,0,0,0,0,1,3,3,0,5,2006,7,6,11.9703503120091
75,5,60,7200,2,1,4,4,1,5,1,10,3,3,1,5,5,7,1920,1996,2,2,9,9,3,0,4,5,1,4,1,4,6,0,6,0,530,530,2,5,1,5,581,530,0,1111,0,0,1,0,3,1,2,6,7,0,3,6,1935,3,1,288,5,5,1,0,0,144,0,0,0,1,3,3,0,3,2007,9,5,11.5228757958234
120,4,44,6442,2,1,1,4,1,5,1,16,3,3,5,3,8,5,2006,2006,2,2,13,14,4,178,3,5,3,3,2,3,3,24,6,0,1346,1370,2,1,2,5,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,3,2,2006,2,2,484,5,5,3,120,49,0,0,0,0,1,3,3,0,10,2007,9,5,12.2184951655287
70,5,50,10300,2,1,1,1,1,5,1,18,7,2,1,6,7,6,1921,1950,2,2,12,13,3,0,4,5,1,4,4,4,6,0,6,0,576,576,2,3,2,5,902,808,0,1710,0,0,2,0,3,1,4,9,7,0,3,6,1990,3,2,480,5,5,3,12,11,64,0,0,0,1,1,3,0,4,2010,9,5,11.8493977015914
60,4,69.3057953144266,9375,2,1,4,4,1,5,1,6,3,3,1,6,7,5,1997,1998,2,2,13,14,2,573,4,5,3,3,4,4,3,739,6,0,318,1057,2,1,2,5,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,3,2,1998,2,2,645,5,5,3,576,36,0,0,0,0,1,1,3,0,2,2009,9,5,12.2991075114974
60,4,76,9591,2,1,4,4,1,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,2,344,3,5,3,1,4,1,6,0,6,0,1143,1143,2,1,2,5,1143,1330,0,2473,0,0,2,1,4,1,3,9,7,1,3,4,2004,2,3,852,5,5,3,192,151,0,0,0,0,1,3,3,0,10,2007,9,5,12.6666570528594
20,4,69.3057953144266,19900,2,1,4,4,1,5,1,13,4,3,1,3,7,5,1970,1989,2,2,10,11,2,287,4,5,2,3,4,2,3,912,6,0,1035,1947,2,5,2,5,2207,0,0,2207,1,0,2,0,3,1,4,7,3,1,3,2,1970,2,2,576,5,5,3,301,0,0,0,0,0,1,3,3,0,7,2010,9,5,12.1007121298723
20,4,72,10665,2,1,1,4,1,5,1,6,3,3,1,3,7,5,2003,2003,2,2,13,14,2,167,3,5,3,3,4,1,3,1013,6,0,440,1453,2,1,2,5,1479,0,0,1479,1,0,2,0,3,1,3,7,7,0,3,2,2003,2,2,558,5,5,3,144,29,0,0,0,0,1,3,3,0,6,2007,9,5,12.3282902782544
30,5,47,4608,2,1,4,4,1,1,1,18,1,3,1,3,4,6,1945,1950,2,2,9,9,3,0,4,3,2,4,4,4,6,0,6,0,747,747,2,5,2,5,747,0,0,747,0,0,1,0,2,1,4,4,7,0,3,2,1945,3,1,220,5,5,3,0,0,0,0,0,0,1,3,3,0,6,2010,9,5,11.289781913656
50,4,81,15593,2,1,4,4,1,1,1,5,3,3,1,1,7,4,1953,1953,2,2,4,1,3,0,3,5,2,4,4,4,2,603,6,0,701,1304,3,5,2,5,1304,983,0,2287,0,0,2,0,3,1,4,7,7,1,5,2,1953,1,2,667,5,5,3,0,21,114,0,0,0,1,3,3,0,7,2006,9,5,12.3238556811866
20,4,95,13651,2,1,1,4,1,5,1,13,3,3,1,3,7,6,1973,1973,2,2,10,11,2,1115,4,3,2,3,4,2,1,1880,6,0,343,2223,2,1,2,5,2223,0,0,2223,1,0,2,0,3,1,4,8,7,2,3,2,1973,1,2,516,5,5,3,300,0,0,0,0,0,1,3,3,0,2,2007,9,5,12.4049235042753
20,4,69,7599,2,1,4,4,1,1,1,12,3,3,1,3,4,6,1982,2006,2,2,7,11,3,0,4,5,2,4,4,4,1,565,6,0,280,845,2,5,2,5,845,0,0,845,1,0,1,0,2,1,4,4,7,0,3,6,1987,3,2,360,5,5,3,0,0,0,0,0,0,1,3,3,0,6,2007,9,5,11.7714361601217
60,4,74,10141,2,1,1,4,1,1,1,9,3,3,1,6,7,5,1998,1998,2,2,13,14,2,40,4,5,3,3,4,4,6,0,6,0,832,832,2,3,2,5,885,833,0,1718,0,0,2,1,3,1,4,7,7,1,5,2,1998,1,2,427,5,5,3,0,94,0,0,291,0,1,3,3,0,12,2009,9,5,12.1281111040605
